"","SITE","SEASON","SAMPLING_PERIOD","SP","CAPTURES"
"1386",14,"Summer",3,"Chrotopterus_auritus",NA
"211",1,"Winter",1,"Chrotopterus_auritus",NA
"225",1,"Winter",2,"Chrotopterus_auritus",NA
"239",1,"Winter",3,"Chrotopterus_auritus",NA
"212",2,"Winter",1,"Chrotopterus_auritus",NA
"226",2,"Winter",2,"Chrotopterus_auritus",NA
"240",2,"Winter",3,"Chrotopterus_auritus",NA
"213",3,"Winter",1,"Chrotopterus_auritus",NA
"227",3,"Winter",2,"Chrotopterus_auritus",NA
"241",3,"Winter",3,"Chrotopterus_auritus",NA
"214",4,"Winter",1,"Chrotopterus_auritus",NA
"228",4,"Winter",2,"Chrotopterus_auritus",NA
"242",4,"Winter",3,"Chrotopterus_auritus",NA
"215",5,"Winter",1,"Chrotopterus_auritus",NA
"229",5,"Winter",2,"Chrotopterus_auritus",NA
"243",5,"Winter",3,"Chrotopterus_auritus",NA
"216",6,"Winter",1,"Chrotopterus_auritus",NA
"230",6,"Winter",2,"Chrotopterus_auritus",NA
"244",6,"Winter",3,"Chrotopterus_auritus",NA
"217",7,"Winter",1,"Chrotopterus_auritus",NA
"231",7,"Winter",2,"Chrotopterus_auritus",NA
"245",7,"Winter",3,"Chrotopterus_auritus",NA
"218",8,"Winter",1,"Chrotopterus_auritus",NA
"232",8,"Winter",2,"Chrotopterus_auritus",NA
"246",8,"Winter",3,"Chrotopterus_auritus",NA
"219",9,"Winter",1,"Chrotopterus_auritus",NA
"233",9,"Winter",2,"Chrotopterus_auritus",NA
"247",9,"Winter",3,"Chrotopterus_auritus",NA
"220",10,"Winter",1,"Chrotopterus_auritus",NA
"234",10,"Winter",2,"Chrotopterus_auritus",NA
"248",10,"Winter",3,"Chrotopterus_auritus",NA
"221",11,"Winter",1,"Chrotopterus_auritus",NA
